paper_id,title,year,language,journal_or_source,doi,pdf_path,source_collection,topic_group,method_group,relevance_level,has_pdf,has_reader,has_paper_card,read_in_batch_01,read_in_batch_02,read_in_remote_sensing_style_rereading,included_in_skill_source,coverage_status,importance_for_skill,missing_reason,recommended_action
KRD0001,CNKI query bucket: 石漠化 + Google Earth Engine/GEE + 时空演变,2000-2026,Chinese,,,,,gee_time_series,GEE,To verify,no,no,no,no,no,no,no,needs_manual_check,medium,metadata requires verification or candidate bucket has no concrete PDF,manual_check
KRD0002,CNKI query bucket: 石漠化 + 深度学习/语义分割/DeepLabV3+/U-Net,2000-2026,Chinese,,,,,deep_learning_segmentation,DeepLabV3+;U-Net,To verify,no,no,no,no,no,no,no,needs_manual_check,medium,metadata requires verification or candidate bucket has no concrete PDF,manual_check
KRD0003,CNKI query bucket: 石漠化 + 裸岩率/基岩裸露率 + 遥感,2000-2026,Chinese,,,,,rocky_desertification_classification,unknown,To verify,no,no,no,no,no,no,no,needs_manual_check,medium,metadata requires verification or candidate bucket has no concrete PDF,manual_check
KRD0004,CNKI query bucket: 石漠化 + 遥感 + 信息提取,2000-2026,Chinese,,,,,rocky_desertification_classification,unknown,To verify,no,no,no,no,no,no,no,needs_manual_check,medium,metadata requires verification or candidate bucket has no concrete PDF,manual_check
KRD0005,CNKI query bucket: 石漠化 + 随机森林/支持向量机/机器学习,2000-2026,Chinese,,,,,rocky_desertification_classification,unknown,To verify,no,no,no,no,no,no,no,needs_manual_check,medium,metadata requires verification or candidate bucket has no concrete PDF,manual_check
KRD0006,"Google Scholar query bucket: ""bare rock fraction"" ""karst"" ""remote sensing""",2000-2026,English,,,,,bare_rock_fraction_fbr,unknown,To verify,no,no,no,no,no,no,no,needs_manual_check,medium,metadata requires verification or candidate bucket has no concrete PDF,manual_check
KRD0007,"Google Scholar query bucket: ""rocky desertification"" ""remote sensing"" ""classification""",2000-2026,English,,,,,machine_learning,unknown,To verify,no,no,no,no,no,no,no,needs_manual_check,medium,metadata requires verification or candidate bucket has no concrete PDF,manual_check
KRD0008,WoS/Scopus query bucket: TOPIC=(karst rocky desertification) AND (classification OR extraction OR mapping OR monitoring),2000-2026,English,,,,,machine_learning,unknown,To verify,no,no,no,no,no,no,no,needs_manual_check,medium,metadata requires verification or candidate bucket has no concrete PDF,manual_check
KRD0009,Long-term unreasonable land use and exposed bedrock in karst rocky desertification areas (Wang et al. 2004),2004,English/Chinese,,,,,bare_rock_fraction_fbr,unknown,To verify,no,no,no,no,no,no,no,needs_manual_check,medium,metadata requires verification or candidate bucket has no concrete PDF,manual_check
KRD0010,Karst rocky desertification and socio-economic constraints in Southwest China (Wang and Li 2007),2007,English/Chinese,,,,,rocky_desertification_classification,unknown,To verify,no,no,no,no,no,no,no,needs_manual_check,medium,metadata requires verification or candidate bucket has no concrete PDF,manual_check
KRD0011,Extraction of rocky desertification information from remote sensing data (Hu et al. 2010),2010,Chinese,,,,,rocky_desertification_classification,unknown,To verify,no,no,no,no,no,no,no,needs_manual_check,medium,metadata requires verification or candidate bucket has no concrete PDF,manual_check
KRD0012,一种基于多光谱遥感影像的喀斯特地区裸岩率的计算方法初探,2010,Chinese,遥感/工程应用中文期刊（万方）,,,,bare_rock_fraction_fbr,unknown,high,no,no,no,no,no,no,no,pdf_missing,low,no PDF path or local PDF was found,manual_check
KRD0013,石漠化遥感评价因子提取研究 / Remote sensing of indicators for evaluating karst rocky desertification,2011,Chinese,生态学相关期刊/中国生态系统研究网络存档,,docs/literature/pdfs/package_2000_2026/CN009_Remote_sensing_of_indicators_for_evaluating_karst_rocky_dese.pdf,package_2000_2026,rocky_desertification_classification,unknown,very_high,yes,yes,yes,yes,no,no,yes,fully_read,critical,,no_action_needed
KRD0014,"Use of NDVI, KRDSI and LCA for rocky desertification extraction (Xiong et al. 2013)",2013,English/Chinese,,,,,rocky_desertification_classification,vegetation_index,To verify,no,no,no,no,no,no,no,needs_manual_check,medium,metadata requires verification or candidate bucket has no concrete PDF,manual_check
KRD0015,Assessing land degradation and desertification using vegetation index data: current frameworks and future directions,2014,English,,,,,review,vegetation_index;review,background/review,no,no,no,no,no,no,no,pdf_missing,medium,no PDF path or local PDF was found,manual_check
KRD0016,Is Forest Restoration in the Southwest China Karst Promoted Mainly by Climate Change or Human-Induced Factors?,2014,,background,10.3390/rs6109895,,,rocky_desertification_classification,unknown,,no,no,no,no,no,yes,yes,style_read_only,critical,read for Remote Sensing style but not full scientific reader,batch_03_quick_reading
KRD0017,Decision tree and fuzzy maximum likelihood classification for KRD (Li and Wu 2015),2015,English/Chinese,,,,,machine_learning,unknown,To verify,no,no,no,no,no,no,no,needs_manual_check,medium,metadata requires verification or candidate bucket has no concrete PDF,manual_check
KRD0018,Discussion on classification and grading of karst rocky desertification in Guizhou (Zhang and Wang 2015),2015,English/Chinese,,,,,machine_learning,unknown,To verify,no,no,no,no,no,no,no,needs_manual_check,medium,metadata requires verification or candidate bucket has no concrete PDF,manual_check
KRD0019,Fully Convolutional Networks for Semantic Segmentation,2015,English,,,,,deep_learning_segmentation,unknown,To verify,no,no,no,no,no,no,no,needs_manual_check,medium,metadata requires verification or candidate bucket has no concrete PDF,manual_check
KRD0020,Monitoring the recent trend of aeolian desertification using Landsat TM and Landsat 8 imagery on the northeast Qinghai-Tibet Plateau,2015,English,,,,,machine_learning,unknown,broader desertification classification and monitoring,no,no,no,no,no,no,no,pdf_missing,high,no PDF path or local PDF was found,manual_check
KRD0021,U-Net: Convolutional Networks for Biomedical Image Segmentation,2015,English,,,,,deep_learning_segmentation,U-Net,To verify,no,no,no,no,no,no,no,needs_manual_check,medium,metadata requires verification or candidate bucket has no concrete PDF,manual_check
KRD0022,Linear spatial-spectral mixture model,2016,English,,,,,lsmm_mesma_sma,unknown,To verify,no,no,no,no,no,no,no,needs_manual_check,medium,metadata requires verification or candidate bucket has no concrete PDF,manual_check
KRD0023,Quantitative Estimation of Carbonate Rock Fraction in Karst Regions Based on Spectral Feature Analysis,2016,,closely_related,10.3390/rs8010068,,,bare_rock_fraction_fbr,unknown,,no,no,no,no,no,yes,yes,style_read_only,critical,read for Remote Sensing style but not full scientific reader,batch_03_quick_reading
KRD0024,Kernel fully constrained least squares for hyperspectral image classification/unmixing (Liu et al. 2017),2017,English/Chinese,,,,,machine_learning,unknown,To verify,no,no,no,no,no,no,no,needs_manual_check,medium,metadata requires verification or candidate bucket has no concrete PDF,manual_check
KRD0025,Analysis of Landsat-8 OLI Imagery for Estimating Exposed Bedrock Fractions in Typical Karst Regions of Southwest China,2018,English,closely_related,10.3390/rs10091321,,,bare_rock_fraction_fbr,unknown,very_high,no,no,no,no,no,yes,yes,style_read_only,critical,read for Remote Sensing style but not full scientific reader,batch_03_quick_reading
KRD0026,Encoder-Decoder with Atrous Separable Convolution for Semantic Image Segmentation / DeepLabV3+,2018,English,,,,,deep_learning_segmentation,DeepLabV3+,To verify,no,no,no,no,no,no,no,needs_manual_check,medium,metadata requires verification or candidate bucket has no concrete PDF,manual_check
KRD0027,面向对象的喀斯特地区石漠化遥感信息提取研究——以贵州省……为例,2018,Chinese,地质力学学报,10.12090/j.issn.1006-6616.2018.24.02.028,docs/literature/pdfs/package_2000_2026/面向对象的喀斯特地区石漠化遥感信息提取研究——以贵州省大方地区为例_周迪.pdf,package_2000_2026,deep_learning_segmentation,DEM_ablation,high,yes,no,no,no,no,no,no,unread_but_indexed,high,PDF exists but no reader or card was detected,batch_03_quick_reading
KRD0028,Comparing Remote Sensing Methods for Monitoring Karst Rocky Desertification at Sub-Pixel Scales in a Highly Heterogeneous Karst Region,2019,English,Scientific Reports,10.1038/s41598-019-49730-9,,,lsmm_mesma_sma,MESMA;SMA,very_high,no,no,no,no,no,no,no,pdf_missing,critical,no PDF path or local PDF was found,manual_check
KRD0029,Spectral variability in hyperspectral unmixing: recent advances and future trends,2019,English,,,,,other,unknown,To verify,no,no,no,no,no,no,no,needs_manual_check,medium,metadata requires verification or candidate bucket has no concrete PDF,manual_check
KRD0030,The Spatial Distribution Pattern of Rock in Rocky Desertification Area based on Unmanned Aerial Vehicle Imagery and Object-oriented Classification Method,2020,English/Chinese,地球信息科学学报 / Journal of Geo-information Science,10.12082/dqxxkx.2020.190744,,,machine_learning,unknown,high,no,no,no,no,no,no,no,pdf_missing,high,no PDF path or local PDF was found,manual_check
KRD0031,云南省建水县石漠化修复模式评价,2020,Chinese,北京大学学报(自然科学版),,docs/literature/pdfs/package_2000_2026/云南省建水县石漠化修复模式评价_肖林颖.caj.pdf,package_2000_2026,rocky_desertification_classification,vegetation_index,medium,yes,no,no,no,no,no,no,unread_but_indexed,high,PDF exists but no reader or card was detected,batch_03_quick_reading
KRD0032,石漠化地区遥感影像信息提取方法综述,2020,Chinese,安全与环境工程,10.13578/j.cnki.issn.1671-1556.2020.03.019,docs/literature/pdfs/package_2000_2026/石漠化地区遥感影像信息提取方法综述_杨董琳.pdf,package_2000_2026,review,review,high,yes,no,no,no,no,no,no,unread_but_indexed,medium,PDF exists but no reader or card was detected,add_to_literature_map_only
KRD0033,Extracting Information on Rocky Desertification from Satellite Images: A Comparative Study,2021,English,core,10.3390/rs13132497,docs/literature/pdfs/package_2000_2026/EN001_Extracting_Information_on_Rocky_Desertification_from_Satelli.pdf; docs/literature/pdfs/package_2021_2026/EN01_Extracting_Information_on_Rocky_Desertification_from_Satellite_Images_A_Comparative_Study.pdf; docs/literature/pdfs/remote_sensing_only/2021_RemoteSens_13_2497_Pu_Extracting_Information_Rocky_Desertification.pdf,package_2000_2026; package_2021_2026; remote_sensing_only,rocky_desertification_classification,unknown,Very close to your paper: multi-source satellite comparison plus ML classification of rocky desertification levels.,no,yes,yes,yes,no,yes,yes,fully_read,critical,,no_action_needed
KRD0034,How Can We Realize Sustainable Development Goals in Rocky Desertified Regions by Enhancing Crop Yield with Reduction of Environmental Risks?,2021,,background,10.3390/rs13091614,,,other,unknown,,no,no,no,no,no,yes,yes,style_read_only,low,read for Remote Sensing style but not full scientific reader,add_to_literature_map_only
KRD0035,Optimization of Rocky Desertification Classification Model Based on Vegetation Type and Seasonal Characteristic,2021,English,core,10.3390/rs13152935,docs/literature/pdfs/package_2021_2026/EN02_Optimization_of_Rocky_Desertification_Classification_Model_Based_on_Vegetation_Type_and_Se.pdf; docs/literature/pdfs/remote_sensing_only/2021_RemoteSens_13_2935_Optimization_of_Rocky_Desertification_Classification_Model_B.pdf,package_2021_2026; remote_sensing_only,machine_learning,unknown,Useful for introducing seasonal/vegetation context and machine-learning model comparison in KRD classification.,no,yes,yes,yes,no,yes,yes,fully_read,critical,,no_action_needed
KRD0036,Spectral analysis of seasonal rock and vegetation changes for detecting karst rocky desertification in southwest China,2021,English,International Journal of Applied Earth Observation and Geoinformation,,,,rocky_desertification_classification,feature_space,very_high,no,no,no,no,no,no,no,pdf_missing,high,no PDF path or local PDF was found,manual_check
KRD0037,基于多时相Sentinel-2遥感数据的石漠化程度识别方法研究,2021,Chinese,中文学位/期刊检索结果,,docs/literature/pdfs/package_2021_2026/基于多时相Sentinel-2遥感数据的石漠化程度识别方法研究_徐瑞.pdf,package_2021_2026,gee_time_series,time_series,Relevant Chinese multi-temporal Sentinel-2 degree recognition reference; metadata should be verified before citation.,yes,no,no,no,no,no,no,unread_but_indexed,high,PDF exists but no reader or card was detected,batch_03_quick_reading
