paper_id,title,translated_title,language,year,authors,journal_or_source,doi,url,pdf_path,sha256,source_collection,source_manifest,topic_group,method_group,data_source,relevance_level,open_access_status,metadata_status,notes
KRD0001,CNKI query bucket: 石漠化 + Google Earth Engine/GEE + 时空演变,,Chinese,2000-2026,,,,,,,,candidate_to_verify_cnki_wanfang_wos.csv; literature_manifest_all.csv,gee_time_series,GEE,,To verify,,needs_manual_check,Long-term monitoring and data processing method papers | verify_in: CNKI/Wanfang | manifest_status: candidate | mentioned_in_notes: annotated_bibliography.md; literature_database_overview.md
KRD0002,CNKI query bucket: 石漠化 + 深度学习/语义分割/DeepLabV3+/U-Net,,Chinese,2000-2026,,,,,,,,candidate_to_verify_cnki_wanfang_wos.csv; literature_manifest_all.csv,deep_learning_segmentation,DeepLabV3+;U-Net,,To verify,,needs_manual_check,Relevant DL segmentation papers; likely few but important | verify_in: CNKI/Wanfang | manifest_status: candidate | mentioned_in_notes: annotated_bibliography.md; literature_database_overview.md
KRD0003,CNKI query bucket: 石漠化 + 裸岩率/基岩裸露率 + 遥感,,Chinese,2000-2026,,,,,,,,candidate_to_verify_cnki_wanfang_wos.csv; literature_manifest_all.csv,rocky_desertification_classification,unknown,,To verify,,needs_manual_check,Directly relevant to FBR/bare-rock fraction | verify_in: CNKI/Wanfang | manifest_status: candidate | mentioned_in_notes: annotated_bibliography.md; literature_database_overview.md
KRD0004,CNKI query bucket: 石漠化 + 遥感 + 信息提取,,Chinese,2000-2026,,,,,,,,candidate_to_verify_cnki_wanfang_wos.csv; literature_manifest_all.csv,rocky_desertification_classification,unknown,,To verify,,needs_manual_check,Large number of Chinese papers not reliably exposed to public web search | verify_in: CNKI advanced search | manifest_status: candidate | mentioned_in_notes: annotated_bibliography.md; literature_database_overview.md
KRD0005,CNKI query bucket: 石漠化 + 随机森林/支持向量机/机器学习,,Chinese,2000-2026,,,,,,,,candidate_to_verify_cnki_wanfang_wos.csv; literature_manifest_all.csv,rocky_desertification_classification,unknown,,To verify,,needs_manual_check,Relevant ML classification papers | verify_in: CNKI/Wanfang | manifest_status: candidate | mentioned_in_notes: annotated_bibliography.md; literature_database_overview.md
KRD0006,"Google Scholar query bucket: ""bare rock fraction"" ""karst"" ""remote sensing""",,English,2000-2026,,,,,,,,candidate_to_verify_cnki_wanfang_wos.csv; literature_manifest_all.csv,bare_rock_fraction_fbr,unknown,,To verify,,needs_manual_check,Covers fBR/FBR/exposed bedrock fraction studies | verify_in: Google Scholar | manifest_status: candidate | mentioned_in_notes: annotated_bibliography.md; literature_database_overview.md
KRD0007,"Google Scholar query bucket: ""rocky desertification"" ""remote sensing"" ""classification""",,English,2000-2026,,,,,,,,candidate_to_verify_cnki_wanfang_wos.csv; literature_manifest_all.csv,machine_learning,unknown,,To verify,,needs_manual_check,"Captures conference papers, theses and non-indexed journal papers | verify_in: Google Scholar | manifest_status: candidate | mentioned_in_notes: annotated_bibliography.md; literature_database_overview.md"
KRD0008,WoS/Scopus query bucket: TOPIC=(karst rocky desertification) AND (classification OR extraction OR mapping OR monitoring),,English,2000-2026,,,,,,,,candidate_to_verify_cnki_wanfang_wos.csv; literature_manifest_all.csv,machine_learning,unknown,,To verify,,needs_manual_check,Needed for rigorous exhaustive capture | verify_in: Web of Science/Scopus | manifest_status: candidate | mentioned_in_notes: annotated_bibliography.md; literature_database_overview.md
KRD0009,Long-term unreasonable land use and exposed bedrock in karst rocky desertification areas (Wang et al. 2004),,English/Chinese,2004,,,,,,,,candidate_to_verify_cnki_wanfang_wos.csv; literature_manifest_all.csv,bare_rock_fraction_fbr,unknown,,To verify,,needs_manual_check,Found as cited background in Frontiers 2022; likely foundational KRD process paper | verify_in: CNKI/WoS/Google Scholar | manifest_status: candidate | mentioned_in_notes: annotated_bibliography.md; literature_database_overview.md
KRD0010,Karst rocky desertification and socio-economic constraints in Southwest China (Wang and Li 2007),,English/Chinese,2007,,,,,,,,candidate_to_verify_cnki_wanfang_wos.csv; literature_manifest_all.csv,rocky_desertification_classification,unknown,,To verify,,needs_manual_check,Cited by Frontiers 2022 as foundational KRD source | verify_in: CNKI/WoS/Google Scholar | manifest_status: candidate | mentioned_in_notes: annotated_bibliography.md; literature_database_overview.md
KRD0011,Extraction of rocky desertification information from remote sensing data (Hu et al. 2010),,Chinese,2010,,,,,,,,candidate_to_verify_cnki_wanfang_wos.csv; literature_manifest_all.csv,rocky_desertification_classification,unknown,,To verify,,needs_manual_check,Relevant grading/extraction standard; appears in user manuscript references | verify_in: CNKI/Wanfang | manifest_status: candidate | mentioned_in_notes: annotated_bibliography.md; literature_database_overview.md
KRD0012,一种基于多光谱遥感影像的喀斯特地区裸岩率的计算方法初探,,Chinese,2010,,遥感/工程应用中文期刊（万方）,,https://d.wanfangdata.com.cn/periodical/Ch9QZXJpb2RpY2FsQ0hJTmV3UzIwMjUwMTE2MTYzNjE0EhB5Z2pzeXl5MjAxMDA0MDEwGghuYWZucnhqNQ%3D%3D,,,,literature_manifest_all.csv; literature_manifest_verified_core.csv,bare_rock_fraction_fbr,unknown,multispectral imagery,high,,manifest_only,manifest_status: verified by web | mentioned_in_notes: annotated_bibliography.md; literature_database_overview.md
KRD0013,石漠化遥感评价因子提取研究 / Remote sensing of indicators for evaluating karst rocky desertification,,Chinese,2011,,生态学相关期刊/中国生态系统研究网络存档,,https://cern.ac.cn/ftp/%E7%9F%B3%E6%BC%A0%E5%8C%96%E9%81%A5%E6%84%9F%E8%AF%84%E4%BB%B7%E5%9B%A0%E5%AD%90%E6%8F%90%E5%8F%96%E7%A0%94%E7%A9%B6-%E5%B2%B3%E8%B7%83%E6%B0%91.pdf,docs/literature/pdfs/package_2000_2026/CN009_Remote_sensing_of_indicators_for_evaluating_karst_rocky_dese.pdf,01595d8ef7a3bc338c7987fc0bf6f3577f360fccd8c0cee3aae916d0429d2ddd,package_2000_2026,literature_manifest_all.csv; literature_manifest_verified_core.csv,rocky_desertification_classification,unknown,field spectral measurements; remote sensing data,very_high,,partial,manifest_status: verified by web | filename_title_candidate: CN009 Remote sensing of indicators for evaluating karst rocky dese | pdf_matched_by_filename_similarity=0.808 | mentioned_in_notes: annotated_bibliography.md; literature_database_overview.md
KRD0014,"Use of NDVI, KRDSI and LCA for rocky desertification extraction (Xiong et al. 2013)",,English/Chinese,2013,,,,,,,,candidate_to_verify_cnki_wanfang_wos.csv; literature_manifest_all.csv,rocky_desertification_classification,vegetation_index,,To verify,,needs_manual_check,Cited in Frontiers 2022 PDF as early index-based KRD extraction | verify_in: CNKI/WoS/Google Scholar | manifest_status: candidate | mentioned_in_notes: annotated_bibliography.md; literature_database_overview.md
KRD0015,Assessing land degradation and desertification using vegetation index data: current frameworks and future directions,,English,2014,,,,,,,,literature_manifest_all.csv,review,vegetation_index;review,,background/review,,manifest_only,manifest_status: contextual | mentioned_in_notes: literature_database_overview.md
KRD0016,Is Forest Restoration in the Southwest China Karst Promoted Mainly by Climate Change or Human-Induced Factors?,,,2014,,background,10.3390/rs6109895,https://www.mdpi.com/2072-4292/6/10/9895,,,,articles_manifest.csv,rocky_desertification_classification,unknown,,,,manifest_only,Background on Southwest China karst restoration and rock/rocky desertification.
KRD0017,Decision tree and fuzzy maximum likelihood classification for KRD (Li and Wu 2015),,English/Chinese,2015,,,,,,,,candidate_to_verify_cnki_wanfang_wos.csv; literature_manifest_all.csv,machine_learning,unknown,,To verify,,needs_manual_check,Cited by Scientific Reports 2022 as KRD classification baseline | verify_in: CNKI/WoS/Google Scholar | manifest_status: candidate | mentioned_in_notes: annotated_bibliography.md; literature_database_overview.md
KRD0018,Discussion on classification and grading of karst rocky desertification in Guizhou (Zhang and Wang 2015),,English/Chinese,2015,,,,,,,,candidate_to_verify_cnki_wanfang_wos.csv; literature_manifest_all.csv,machine_learning,unknown,,To verify,,needs_manual_check,Relevant grading standard; appears in user manuscript references | verify_in: CNKI/Wanfang | manifest_status: candidate | mentioned_in_notes: annotated_bibliography.md; literature_database_overview.md
KRD0019,Fully Convolutional Networks for Semantic Segmentation,,English,2015,,,,,,,,candidate_to_verify_cnki_wanfang_wos.csv; literature_manifest_all.csv,deep_learning_segmentation,unknown,,To verify,,needs_manual_check,Baseline model reference for FCN comparison; not KRD-specific | verify_in: CVPR | manifest_status: candidate | mentioned_in_notes: annotated_bibliography.md; literature_database_overview.md
KRD0020,Monitoring the recent trend of aeolian desertification using Landsat TM and Landsat 8 imagery on the northeast Qinghai-Tibet Plateau,,English,2015,,,,,,,,literature_manifest_all.csv,machine_learning,unknown,,broader desertification classification and monitoring,,manifest_only,manifest_status: contextual | mentioned_in_notes: literature_database_overview.md
KRD0021,U-Net: Convolutional Networks for Biomedical Image Segmentation,,English,2015,,,,,,,,candidate_to_verify_cnki_wanfang_wos.csv; literature_manifest_all.csv,deep_learning_segmentation,U-Net,,To verify,,needs_manual_check,U-Net baseline method reference; not KRD-specific | verify_in: MICCAI/Google Scholar | manifest_status: candidate | mentioned_in_notes: annotated_bibliography.md; literature_database_overview.md
KRD0022,Linear spatial-spectral mixture model,,English,2016,,,,,,,,candidate_to_verify_cnki_wanfang_wos.csv; literature_manifest_all.csv,lsmm_mesma_sma,unknown,,To verify,,needs_manual_check,Method reference for LSMM; not KRD-specific | verify_in: IEEE TGRS | manifest_status: candidate | mentioned_in_notes: annotated_bibliography.md; literature_database_overview.md
KRD0023,Quantitative Estimation of Carbonate Rock Fraction in Karst Regions Based on Spectral Feature Analysis,,,2016,,closely_related,10.3390/rs8010068,https://www.mdpi.com/2072-4292/8/1/68,,,,articles_manifest.csv,bare_rock_fraction_fbr,unknown,,,,manifest_only,Closely related to carbonate rock fraction/bedrock exposure. Official PDF link included. | mentioned_in_notes: literature_database_overview.md
KRD0024,Kernel fully constrained least squares for hyperspectral image classification/unmixing (Liu et al. 2017),,English/Chinese,2017,,,,,,,,candidate_to_verify_cnki_wanfang_wos.csv; literature_manifest_all.csv,machine_learning,unknown,,To verify,,needs_manual_check,Method reference for FCLS/LSMM; not KRD-specific | verify_in: IEEE/Google Scholar | manifest_status: candidate | mentioned_in_notes: annotated_bibliography.md; literature_database_overview.md
KRD0025,Analysis of Landsat-8 OLI Imagery for Estimating Exposed Bedrock Fractions in Typical Karst Regions of Southwest China,,English,2018,,closely_related,10.3390/rs10091321,https://www.mdpi.com/2072-4292/10/9/1321,,,,articles_manifest.csv; literature_manifest_all.csv; literature_manifest_verified_core.csv,bare_rock_fraction_fbr,unknown,Landsat-8 OLI; field samples,very_high,,manifest_only,Closely related to EBF/FBR and rocky desertification mapping. Official PDF link included. | manifest_status: verified by web | mentioned_in_notes: annotated_bibliography.md; literature_database_overview.md
KRD0026,Encoder-Decoder with Atrous Separable Convolution for Semantic Image Segmentation / DeepLabV3+,,English,2018,,,,,,,,candidate_to_verify_cnki_wanfang_wos.csv; literature_manifest_all.csv,deep_learning_segmentation,DeepLabV3+,,To verify,,needs_manual_check,Core DeepLabV3+ method reference; not KRD-specific | verify_in: ECCV/Google Scholar | manifest_status: candidate | mentioned_in_notes: annotated_bibliography.md; literature_database_overview.md
